timestamp,cpu_usage_percent,mem_usage_percent,disk_usage_percent,read_disk,write_disk
0s,5.6,20.7,39.9,0,40
5s,10.5,20.7,0,0,0
10s,15.1,20.9,0.70,0,80
15s,38.4,21.6,10.3,0,4499
20s,35.3,21.4,0.50,0,240
25s,21.7,21.0,51.1,0,34
30s,2.9,21.0,0.50,0,24
35s,6.4,21.0,14.7,0,8182
40s,16.5,21.0,13.7,0,204
45s,2.3,20.9,1.40,0,104
50s,24.1,21.0,0.90,0,252
55s,8.1,21.6,17.1,0,52
60s,32.9,21.8,55.2,0,104
65s,38.8,21.8,0.40,0,36
70s,24.4,21.7,1.10,0,3137
75s,35.7,21.7,92.4,0,430
80s,32.9,22.0,3.60,0,36
85s,40.0,22.0,96.9,0,142
90s,62.2,22.7,4.60,0,4408
95s,4.7,23.5,0.10,0,124
100s,10.5,23.6,1.40,0,568
105s,5.4,23.4,0,0,0
110s,6.1,23.4,13.0,0,4091
115s,17.9,23.4,0.30,0,232
120s,4.8,23.4,0.60,0,24
125s,10.6,23.4,0.50,0,24
130s,4.6,23.3,18.1,0,8183
135s,17.4,23.4,0.80,0,92
140s,5.7,23.4,1.00,0,380
145s,4.8,23.4,0,0,0
150s,6.5,23.4,0.50,0,24
155s,8.3,23.4,77.6,0,40
160s,10.5,23.4,0.50,0,24
165s,18.1,23.4,29.0,0,336
170s,6.5,23.4,13.5,0,4095
175s,6.7,23.4,0.50,0,148
180s,5.7,23.4,4.10,0,48
185s,6.5,23.4,32.6,0,76
190s,7.8,23.4,0.50,0,28
195s,20.8,23.4,0.50,0,108
200s,5.6,23.2,0.50,0,24
205s,5.7,23.2,5.10,0,144
210s,20.7,23.3,0,0,0
215s,5.8,23.3,0.30,0,8189
220s,21.0,23.3,2.20,0,40
225s,3.8,23.3,0.10,0,4095
230s,21.6,23.7,0.20,0,24
235s,15.1,23.9,0.40,0,20
240s,6.5,23.6,5.30,0,132
245s,14.1,23.6,1.10,0,56
250s,15.5,23.6,0.40,0,28
255s,16.1,23.5,0.30,0,12
260s,11.7,23.6,0,0,0
265s,7.6,23.5,0.40,0,36
270s,21.7,23.5,39.9,0,28
275s,10.9,23.5,81.5,0,204
280s,7.6,23.6,4.20,0,172
285s,17.1,23.5,6.39,0,344
290s,10.0,23.6,69.9,0,84
295s,8.0,23.6,0.30,0,48
300s,11.7,23.6,0.60,0,64
