timestamp,cpu_usage_percent,mem_usage_percent,disk_usage_percent,read_disk,write_disk
0s,87.9,14.9,51.2,0,288
5s,4.7,15.1,0,0,0
10s,14.0,15.3,68.0,0,44
15s,14.0,16.3,0,0,0
20s,8.3,15.4,1.20,0,187
25s,31.5,15.3,7.70,0,7270
30s,34.9,15.4,25.7,0,90
35s,26.7,15.9,86.7,0,77
40s,13.8,16.9,64.0,0,0
45s,11.4,16.8,0,0,0
50s,20.2,16.9,0,0,0
55s,22.3,16.9,40.6,0,27
60s,37.2,16.7,94.2,0,71
65s,42.0,16.7,12.3,0,21
70s,10.4,17.3,0.20,0,80
75s,13.0,17.3,0,0,0
80s,8.1,17.5,23.8,0,2833
85s,20.5,17.6,0.40,0,88
90s,10.0,17.9,57.4,0,32
95s,20.9,18.0,0.10,0,4092
100s,24.7,17.3,3.80,0,64
105s,4.6,17.3,2.80,0,1032
110s,17.0,17.5,0,0,0
115s,26.7,17.6,0,0,0
120s,7.7,17.8,0,0,0
125s,12.2,17.8,62.2,0,92
130s,15.5,17.5,5.69,0,2349
135s,34.5,17.4,75.6,0,100
140s,24.0,17.3,15.6,0,4091
145s,15.1,17.3,5.90,0,16
150s,10.6,17.4,0,0,0
155s,4.7,17.4,15.4,0,8184
160s,4.8,17.3,29.8,0,3402
165s,7.6,17.3,0,0,0
170s,5.9,17.3,0,0,0
175s,3.8,17.3,33.6,0,352
180s,17.0,17.3,79.1,0,280
185s,18.9,17.4,0,0,0
190s,3.8,17.3,0,0,0
195s,5.7,17.3,0.10,0,4092
200s,4.7,17.3,4.59,0,4091
205s,4.8,17.3,0,0,0
210s,6.6,17.3,4.39,0,28
215s,3.8,17.3,0,0,0
220s,10.4,17.3,0,0,0
225s,3.8,17.3,15.5,0,4091
230s,8.7,17.3,0,0,0
235s,4.8,17.3,0,0,0
240s,6.8,17.4,3.20,0,8183
245s,7.5,17.3,21.2,0,48
250s,6.7,17.3,0,0,0
255s,5.7,17.3,0,0,0
260s,6.7,17.3,13.6,0,120
265s,24.0,17.3,0.30,0,643
270s,5.7,17.3,0,0,0
275s,3.3,17.3,0,0,0
280s,3.9,17.3,0,0,0
285s,3.3,17.3,0,0,0
290s,10.5,17.3,0,0,0
295s,8.7,17.3,21.3,0,76
300s,18.9,17.3,47.5,0,4091
