timestamp,cpu_usage_percent,mem_usage_percent,disk_usage_percent,read_disk,write_disk
0s,18.3,21.6,0.10,0,20
5s,5.9,21.7,0.60,0,124
10s,16.5,21.9,0.10,0,4095
15s,29.2,22.5,0,0,0
20s,18.9,22.3,34.2,0,40
25s,8.3,22.0,0.90,0,124
30s,28.2,21.9,11.7,0,160
35s,4.9,21.8,0,0,0
40s,8.1,22.0,5.20,0,28
45s,6.7,21.9,0.90,0,148
50s,11.5,22.0,26.5,0,68
55s,41.1,21.9,0.20,0,32
60s,4.9,22.0,62.7,0,276
65s,5.7,22.0,0.10,0,4095
70s,16.3,21.9,29.3,0,41
75s,11.7,22.5,1.80,0,360
80s,5.8,22.6,26.2,0,17
85s,13.1,22.8,0.10,0,12
90s,8.6,22.7,0.40,0,24
95s,7.1,22.2,13.6,0,4095
100s,5.7,22.5,1.60,0,716
105s,17.6,22.5,4.90,0,24
110s,20.5,22.5,42.4,0,163
115s,6.5,22.7,1.20,0,280
120s,2.4,22.5,35.9,0,44
125s,23.5,23.0,0,0,0
130s,25.7,23.1,46.1,0,4360
135s,39.4,23.5,92.0,0,2116
140s,8.7,24.6,0,0,0
145s,10.3,24.5,5.69,0,4091
150s,10.3,24.4,61.1,0,28
155s,9.2,24.4,0.20,0,48
160s,22.5,24.4,0.80,0,140
165s,10.2,24.4,0.40,0,44
170s,5.7,24.5,0.70,0,124
175s,10.8,24.5,0.50,0,116
180s,9.5,24.5,0,0,0
185s,14.9,24.5,12.6,0,96
190s,7.0,24.5,0.60,0,56
195s,13.4,24.4,1.20,0,452
200s,9.1,24.5,0.40,0,88
205s,5.6,24.5,1.00,0,104
210s,8.1,24.5,5.30,0,4095
215s,10.5,24.4,0.60,0,24
220s,4.3,24.4,0.50,0,28
225s,74.3,24.5,55.5,0,60
230s,10.9,24.5,0.10,0,4090
235s,11.6,24.3,0.10,0,4091
240s,8.5,24.3,0.40,0,36
245s,8.3,24.3,0.30,0,8190
250s,24.7,24.3,0.90,0,64
255s,21.5,24.3,42.2,0,68
260s,10.3,24.2,35.5,0,40
265s,3.8,24.2,1.90,0,8191
270s,9.4,24.2,0.50,0,56
275s,3.4,24.2,0.30,0,12
280s,16.1,24.2,50.8,0,88
285s,8.2,24.3,3.00,0,400
290s,10.9,24.3,4.00,0,12
295s,24.0,24.3,0.10,0,4095
300s,9.6,24.3,0.50,0,80
