timestamp,cpu_usage_percent,mem_usage_percent,disk_usage_percent,read_disk,write_disk
0s,14.6,10.4,33.0,0,4090
5s,17.0,10.3,17.1,0,92
10s,24.4,10.3,35.6,0,7422
15s,15.5,11.2,11.9,0,4092
20s,21.7,12.2,0,0,0
25s,14.3,11.2,22.1,0,8686
30s,27.4,11.2,7.60,0,1900
35s,3.4,11.2,2.20,0,2026
40s,29.0,11.3,54.4,0,57
45s,3.0,11.6,1.804092,312,
50s,4.7,11.3,0.10,0,8183
55s,2.3,11.3,0,0,0
60s,16.3,11.3,23.7,0,48
65s,13.1,11.8,1.20,0,391
70s,5.0,12.0,3.40,0,844
75s,15.5,11.8,3.60,0,2432
80s,4.0,11.9,82.7,0,168
85s,3.0,11.8,18.9,0,36
90s,29.4,11.7,30.0,0,85
95s,5.0,11.7,0.90,0,200
100s,3.1,11.6,0,0,0
105s,6.0,11.6,0.50,0,116
110s,15.3,11.7,0.30,0,64
115s,3.0,11.7,0.90,0,180
120s,6.9,11.7,1.80,0,455
