timestamp,cpu_usage_percent,mem_usage_percent,disk_usage_percent,read_disk,write_disk
0s,14.4,10.0,0.10,0,4090
5s,7.2,9.9,0,0,0
10s,5.8,10.0,5.30,0,7583
15s,13.1,9.9,0.20,0,520
20s,3.1,10.0,0.10,0,4091
25s,44.6,10.7,14.6,0,8195
30s,5.4,10.9,6.10,0,2082
35s,5.7,11.0,0,0,0
40s,17.2,10.9,33.7,0,2797
45s,3.1,10.9,18.3,0,40
50s,6.1,10.9,36.4,0,28
55s,29.1,11.1,47.3,0,631
60s,6.1,11.1,0.50,0,547
65s,8.8,11.0,0,0,0
70s,9.1,11.0,0,0,0
75s,8.2,10.9,45.0,0,84
80s,5.1,11.0,3.60,0,16
85s,3.1,11.0,0,0,0
90s,3.0,11.9,18.4,0,52
95s,5.7,11.6,2.20,0,48
100s,5.0,11.6,1.00,0,208
105s,9.8,11.6,0.60,0,132
110s,2.3,11.6,20.4,0,100
115s,17.4,11.4,0.50,0,132
120s,5.9,11.4,1.00,0,324
