timestamp,cpu_usage_percent,mem_usage_percent,disk_usage_percent,read_disk,write_disk
0s,15.5,10.2,36.2,0,8180
5s,14.4,10.2,0.50,0,8184
10s,19.2,10.3,5.80,0,7360
15s,17.6,10.2,2.10,0,3095
20s,2.1,10.5,73.9,0,908
25s,42.4,11.0,7.60,0,6116
30s,14.1,11.2,4.20,0,1414
35s,3.1,11.3,0,0,0
40s,16.0,11.2,23.8,0,86
45s,2.0,11.5,0.80,0,76
50s,9.2,11.4,0,0,0
55s,6.0,11.3,18.2,0,32
60s,14.1,12.2,0.70,0,859
65s,24.7,11.9,1.90,0,1522
70s,3.0,11.7,0.10,0,8184
75s,36.6,11.6,2.90,0,1071
80s,3.0,11.6,1.00,0,220
85s,4.0,11.6,18.5,0,68
90s,3.0,11.5,18.5,0,64
95s,4.0,11.8,0.80,0,136
100s,2.3,11.9,0.60,0,356
105s,3.0,11.8,18.5,0,32
110s,14.7,11.7,13.4,0,196
115s,5.0,11.7,0.50,0,236
120s,30.7,11.8,47.4,0,70
