timestamp,cpu_usage_percent,mem_usage_percent,disk_usage_percent,read_disk,write_disk
0s,13.6,9.9,35.7,0,12
5s,17.2,9.9,0,0,0
10s,6.9,9.9,21.8,0,939
15s,15.1,9.8,0.30,0,520
20s,15.3,10.0,4.59,0,152
25s,18.8,10.6,12.9,0,7699
30s,34.1,10.8,6.70,0,1932
35s,7.1,11.1,4.40,0,108
40s,4.0,11.0,19.2,0,28
45s,3.1,11.0,46.4,0,592
50s,6.1,11.0,0.60,0,152
55s,4.0,11.0,26.6,0,52
60s,3.0,11.4,0.70,0,88
65s,3.0,11.2,0.40,0,76
70s,3.0,11.1,6.30,0,148
75s,8.0,11.1,0,0,0
80s,17.0,11.1,20.9,0,100
85s,3.1,11.1,60.6,0,64
90s,3.1,11.1,23.3,0,40
95s,12.9,12.1,0.40,0,48
100s,4.0,11.7,3.00,0,1036
105s,4.0,11.6,12.2,0,476
110s,3.0,11.4,0.40,0,84
115s,7.0,11.4,19.3,0,52
120s,4.9,11.5,0.70,0,248
