timestamp,cpu_usage_percent,mem_usage_percent,disk_usage_percent,read_disk,write_disk
0s,89.8,14.1,0,0,0
5s,4.0,14.3,0,0,0
10s,16.3,14.4,0,0,0
15s,19.0,14.7,0,0,0
20s,36.5,14.6,5.79,0,2613
25s,12.7,14.6,0.10,0,32
30s,22.9,14.6,86.3,0,33
35s,3.5,14.5,58.3,0,80
40s,9.6,14.6,83.4,0,28
45s,33.7,14.8,53.8,0,2712
50s,19.0,15.1,57.4,0,111
55s,32.6,16.5,13.7,0,11
60s,17.3,16.2,79.8,0,432
65s,10.2,16.4,0,0,0
70s,10.5,16.7,21.4,0,1934
75s,6.8,16.8,0,0,0
80s,6.7,16.8,11.8,0,20
85s,9.8,16.9,10.2,0,4095
90s,18.7,16.9,0.10,0,0
95s,14.7,16.8,28.9,0,32
100s,9.2,16.3,54.1,0,64
105s,9.5,16.3,2.00,0,892
110s,12.5,16.5,0,0,0
115s,3.0,16.6,0,0,0
120s,4.8,16.5,79.4,0,18
125s,5.8,16.9,39.5,0,33
130s,10.8,16.8,0,0,0
135s,4.6,16.8,0.50,0,296
140s,6.2,16.9,1.90,0,4419
145s,28.4,17.1,1.00,0,691
150s,9.9,16.8,1.70,0,408
155s,2.2,16.8,21.4,0,9723
160s,3.9,16.9,0,0,0
165s,8.3,16.8,47.7,0,611
170s,5.7,16.8,0,0,0
175s,6.0,16.7,0.40,0,2128
180s,8.4,16.8,0,0,0
185s,4.8,16.7,74.2,0,344
190s,3.4,16.7,0,0,0
195s,5.7,16.7,0,0,0
200s,4.8,16.7,79.9,0,435
205s,3.9,16.7,7.99,0,116
210s,4.8,16.7,0,0,0
215s,9.7,16.7,0,0,0
220s,4.8,16.7,15.0,0,12
225s,5.7,16.7,0,0,0
230s,14.6,16.8,72.0,0,8183
235s,10.5,16.8,0,0,0
240s,6.7,16.8,0,0,0
245s,4.8,16.8,0,0,0
250s,5.7,16.7,7.69,0,4092
255s,8.7,16.7,0.20,0,60
260s,13.1,16.7,0,0,0
265s,6.7,16.7,0,0,0
270s,3.8,16.7,13.5,0,8184
275s,4.8,16.7,0,0,0
280s,6.6,16.7,0,0,0
285s,3.9,16.7,0,0,0
290s,22.1,16.7,39.6,0,4091
295s,15.1,16.8,0,0,0
300s,8.0,16.7,13.1,0,4091
