timestamp,cpu_usage_percent,mem_usage_percent,disk_usage_percent,read_disk,write_disk
0s,93.1,14.1,0.20,0,288
5s,17.8,14.6,9.99,0,528
10s,23.5,14.9,0,0,0
15s,12.4,15.2,0.20,0,72
20s,14.9,15.0,1.40,0,464
25s,18.8,14.6,19.8,0,8130
30s,12.9,14.7,15.1,0,16
35s,97.0,14.9,68.8,132,177
40s,34.9,14.9,81.0,0,10
45s,23.3,16.3,20.7,0,116
50s,21.3,16.4,3.60,0,5410
55s,6.9,16.4,0.50,0,148
60s,12.1,16.4,0,0,0
65s,21.8,16.3,87.0,0,316
70s,13.1,16.3,0.90,0,3918
75s,10.6,16.3,0.70,0,420
80s,8.7,16.5,0,0,0
85s,16.7,16.3,25.7,24,0
90s,17.6,16.2,20.7,0,72
95s,8.1,16.2,68.0,0,172
100s,30.6,16.3,38.5,0,40
105s,76.2,16.4,91.4,0,178
110s,22.5,16.4,3.40,0,1144
115s,23.9,16.2,82.2,0,208
120s,21.6,16.1,13.5,0,108
125s,9.6,16.0,12.2,0,4152
130s,8.1,16.4,0,0,0
135s,14.0,16.5,0,0,0
140s,13.0,16.7,36.7,0,248
145s,5.9,16.5,10.5,0,3836
150s,9.6,16.9,0.10,0,4091
155s,27.9,16.8,28.7,76,24
160s,10.9,16.8,0,0,0
165s,12.8,16.8,86.7,0,378
170s,22.1,17.0,21.0,0,140
175s,11.2,17.1,0,0,0
180s,17.9,17.0,2.40,0,4095
185s,12.6,16.9,0.70,0,28
190s,25.6,16.9,71.2,0,148
195s,23.9,17.0,15.2,0,1140
200s,14.0,16.6,0,0,0
205s,8.1,17.3,2.90,0,776
210s,16.5,17.1,0,0,0
215s,8.5,16.9,0,0,0
220s,12.5,16.9,18.6,0,220
225s,29.2,17.0,23.9,0,811
230s,11.5,17.0,0.10,0,28
235s,10.6,17.0,4.20,0,12
240s,16.8,16.8,18.6,0,108
245s,11.8,16.8,0,0,0
250s,12.4,16.8,4.60,0,4092
255s,15.6,16.8,25.5,0,108
260s,18.8,16.8,58.8,0,4094
265s,14.0,16.8,21.0,0,104
270s,12.6,16.9,82.0,0,140
275s,5.7,16.9,0,0,0
280s,17.0,16.9,55.1,0,603
285s,8.3,17.0,2.00,0,779
290s,6.8,16.8,0,0,0
295s,7.6,16.8,0,0,0
300s,8.2,16.8,19.5,0,484
